date,rate
01/06/2020,15883.81
02/06/2020,16037.33
03/06/2020,16384.53
04/06/2020,16282.97
05/06/2020,16530.95
06/06/2020,16530.95
07/06/2020,16530.95
08/06/2020,16504.94
09/06/2020,16311.70
10/06/2020,16438.86
11/06/2020,16337.46
12/06/2020,16073.27
13/06/2020,16073.27
14/06/2020,16073.27
15/06/2020,16087.43
16/06/2020,16357.59
17/06/2020,16266.90
18/06/2020,16193.87
19/06/2020,16158.31
20/06/2020,16158.31
21/06/2020,16158.31
22/06/2020,16104.08
23/06/2020,16311.62
24/06/2020,16365.80
25/06/2020,16160.89
26/06/2020,16212.63
27/06/2020,16212.63
28/06/2020,16212.63
29/06/2020,16216.21
30/06/2020,16116.00
01/07/2020,16250.41
02/07/2020,16285.75
03/07/2020,16304.60
04/07/2020,16304.60
05/07/2020,16304.60
06/07/2020,16417.67
07/07/2020,16462.41
08/07/2020,16335.22
09/07/2020,16450.63
10/07/2020,16332.91
11/07/2020,16332.91
12/07/2020,16332.91
13/07/2020,16354.10
14/07/2020,16318.79
15/07/2020,16457.66
16/07/2020,16464.76
17/07/2020,16448.28
18/07/2020,16448.28
19/07/2020,16448.28
20/07/2020,16424.73
21/07/2020,16549.53
22/07/2020,16855.45
23/07/2020,16794.26
24/07/2020,16693.04
25/07/2020,16693.04
26/07/2020,16693.04
27/07/2020,16756.60
28/07/2020,16841.33
29/07/2020,16878.99
30/07/2020,16904.88
31/07/2020,16947.25
